Pb_Pb Mean Width Dist Flactutation Temp Kink eta_s Slope_low Slope_high Max Temp_peak Width_peak Asym_peak R
23.1525 -0.3485 0.9872 0.4611 1.4658 0.1279 0.2947 0.072 -0.4963 -0.2972 0.0949 0.1451 0.068 0.046 0.6131
28.3475 -0.289 1.2298 0.2801 1.408 0.1376 0.1442 0.1663 -0.7647 -0.9468 0.0169 0.2789 0.1463 -0.786 0.9309
25.1625 -0.2669 1.4253 0.3778 0.8002 0.1288 0.1328 0.1889 0.6917 -0.8882 0.0254 0.1348 0.0849 0.2092 0.4006
26.8875 -0.7913 1.2808 0.5453 1.8857 0.1262 0.1717 0.1772 -1.8972 1.7742 0.2185 0.2058 0.0368 -0.6228 0.6953
27.9525 -0.6264 1.4062 1.6154 0.3659 0.1245 0.2678 0.093 -1.2327 1.6602 0.0222 0.2694 0.1366 -0.4692 0.3681
26.5025 -0.2422 1.1833 1.5704 1.9452 0.1241 0.149 0.1069 -0.6598 -0.1232 0.1281 0.1259 0.1212 0.246 0.9207
28.8625 0.034 1.2168 0.3404 0.4381 0.1578 0.2524 0.1904 -1.4112 -0.9168 0.2255 0.2157 0.0807 0.7156 0.3068
21.3175 -0.9817 0.7998 0.7255 0.6931 0.1228 0.2212 0.1746 -0.0418 -0.7968 0.2221 0.2812 0.051 -0.67 0.542
25.0075 -0.0663 0.9882 1.6758 1.3587 0.1264 0.1823 0.0195 -0.5638 0.0703 0.2204 0.2988 0.0836 -0.734 0.9662
28.6525 0.2737 0.7942 1.6001 1.8695 0.122 0.1316 0.191 0.4232 -0.6392 0.0396 0.2633 0.0285 -0.5812 0.4626
21.2625 -0.8695 1.1188 0.5886 1.4173 0.1236 0.2879 0.0438 -1.2927 -0.3258 0.2322 0.2976 0.1423 0.5084 0.8084
27.3625 -0.9749 0.5078 1.1088 0.5826 0.1302 0.2113 0.0428 0.2492 -0.6738 0.0257 0.1429 0.1147 0.5748 0.4986
26.2275 -0.391 1.4432 1.306 0.6557 0.1235 0.2683 0.181 -0.9342 -0.7248 0.0571 0.2949 0.0607 0.51 0.9561
